GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab1,cn.edu.bjut.software.test.part1,SaleMachine,0,319,2,28,0,66,2,18,0,5
lab1,cn.edu.bjut.software.test.part2,MetroSaleTicket,0,249,2,26,0,44,2,17,0,5
